,Artist,Title,vader_sentiment,textblob_subjectivity,NRC_emotion_vector_norm,NRC_emotion_dominant
0,Ariana Grande,"​thank u, next",0.9998,0.751095461658842,"[6.66814854e-03 2.45307476e-03 2.23691463e-06 3.31987567e-04
 9.02435772e-04 9.89640991e-01 8.22914905e-07 3.02733476e-07]",trust
1,Ariana Grande,7 rings,0.9983,0.5696797520661157,"[2.96326086e-01 2.70214414e-04 1.09012275e-01 7.34518931e-04
 2.96326086e-01 2.96326086e-01 7.34518931e-04 2.70214414e-04]",others
2,Ariana Grande,​God is a woman,0.9982,0.5495726495726496,"[9.92077965e-01 1.01805847e-10 2.04482509e-09 6.68456875e-03
 3.32805081e-04 9.04658005e-04 1.01805847e-10 7.52249112e-10]",joy
3,Ariana Grande,Side To Side,-0.6497,0.6482828282828283,"[4.90974480e-01 3.30816003e-03 1.21700406e-03 8.99251128e-03
 1.21700406e-03 8.20010886e-06 3.30816003e-03 4.90974480e-01]",others
4,Ariana Grande,​​no tears left to cry,0.7234,0.7078869047619047,"[8.31356158e-07 9.99792478e-01 2.25986034e-06 4.53905083e-05
 1.66982348e-05 2.25986034e-06 1.23384194e-04 1.66982348e-05]",sadness
5,Ariana Grande,​​breathin,0.9224,0.3287037037037037,"[0.00226095 0.00226095 0.01670627 0.00226095 0.91213133 0.04541234
 0.00226095 0.01670627]",anticipation
6,Ariana Grande,"​break up with your girlfriend, i’m bored",0.9912,0.2288819875776396,"[3.15732828e-04 2.33296758e-03 9.41186296e-01 2.33296758e-03
 3.15732828e-04 3.15732828e-04 4.68589065e-02 6.34166338e-03]",anger
7,Ariana Grande,​positions,0.9903,0.4568376068376065,"[9.98804805e-01 2.25762787e-06 1.66817390e-05 2.25762787e-06
 1.23262305e-04 9.10792088e-04 1.66817390e-05 1.23262305e-04]",joy
8,Ariana Grande,34+35,0.9992,0.4199254449254449,"[0.01425539 0.28632726 0.28632726 0.10533391 0.00524427 0.28632726
 0.00192926 0.01425539]",others
9,Ariana Grande,​imagine,0.9957,0.4670437405731523,"[9.78358190e-01 1.63402457e-05 3.28202609e-04 1.63402457e-05
 1.79192553e-02 8.92147189e-04 2.42510749e-03 4.44173931e-05]",joy
10,Ariana Grande,​needy,0.9189,0.3160130718954245,"[6.55777621e-01 1.09526016e-05 2.41247105e-01 5.97991786e-04
 3.26492452e-02 3.26492452e-02 3.26492452e-02 4.41859485e-03]",joy
11,Ariana Grande,​pov,0.9985,0.3125541125541122,"[9.93305158e-01 8.25961766e-07 2.04735452e-09 8.25961766e-07
 3.03854353e-07 6.69283751e-03 5.56528660e-09 4.11222149e-08]",joy
12,Ariana Grande,​ghostin,0.9651,0.6325,"[7.09320695e-01 2.60944501e-01 4.77936525e-03 1.75823022e-03
 1.29916617e-02 4.77936525e-03 4.77936525e-03 6.46816749e-04]",joy
13,Ariana Grande,​pete davidson,0.9987,0.0999999999999999,"[1.76684220e-02 1.81311220e-12 2.45378053e-13 6.67006703e-13
 9.64663156e-01 1.76684220e-02 2.45378053e-13 2.45378053e-13]",anticipation
14,Ariana Grande,​in my head,0.997,0.3482456140350877,"[4.53815924e-05 3.35327132e-04 1.52238282e-08 4.13826557e-08
 9.99596092e-01 6.14173066e-06 1.66949548e-05 3.05778764e-07]",anticipation
15,Ariana Grande,​sweetener,0.995,0.5549450549450549,"[8.71442314e-02 7.24629311e-08 2.36882581e-01 1.96974669e-07
 6.43913615e-01 1.96974669e-07 3.20585712e-02 5.35432663e-07]",anticipation
16,Ariana Grande,​R.E.M.,0.9943,0.5664072039072039,"[4.50007068e-12 1.19202922e-01 8.24216696e-14 6.67869706e-10
 1.65548349e-12 2.45695534e-10 6.09018340e-13 8.80797077e-01]",disgust
17,Ariana Grande,NASA,0.9747,0.4999444444444444,"[9.78313903e-01 2.42499772e-03 8.13496107e-07 8.92106805e-04
 1.79184442e-02 1.20733527e-04 3.28187753e-04 8.13496107e-07]",joy
18,Ariana Grande,Dangerous Woman,0.9901,0.3484848484848485,"[5.81541767e-06 6.37737985e-03 2.89532597e-07 9.46487090e-01
 7.87031198e-07 5.81541767e-06 5.30297450e-09 4.71228175e-02]",fear
19,Ariana Grande,Let Me Love You,0.9994,0.559083694083694,"[9.99999581e-01 5.10908689e-12 1.87952803e-12 1.02618753e-10
 3.77513296e-11 3.05902192e-07 1.38879381e-11 1.12535128e-07]",joy
20,Ariana Grande,​bloodline,0.9984,0.4309259259259259,"[2.64542110e-01 7.19100012e-01 8.87439916e-05 4.41830318e-06
 1.78247072e-03 1.31707761e-02 6.55734332e-04 6.55734332e-04]",sadness
21,Ariana Grande,Into You,-0.9707,0.4977361436377832,"[9.99997288e-01 1.52299384e-08 1.12534870e-07 2.26032328e-06
 3.05901491e-07 1.52299384e-08 7.58253986e-10 2.06114803e-09]",joy
22,Ariana Grande,​fake smile,0.9774,0.4026836158192087,"[9.75321718e-01 1.20364262e-04 1.20364262e-04 4.03777117e-08
 2.01028789e-09 6.57166604e-03 1.78636404e-02 2.20454836e-06]",joy
23,Ariana Grande,​goodnight n go,0.984,0.4163398692810458,"[9.43970475e-01 4.69975226e-02 3.16666816e-04 6.36042303e-03
 8.60789652e-04 3.16666816e-04 8.60789652e-04 3.16666816e-04]",joy
24,Ariana Grande,​the light is coming,-0.9373,0.572787524366472,"[2.63795229e-10 6.37196130e-03 4.70827795e-02 8.62351188e-04
 9.45682907e-01 3.57008021e-11 9.70448416e-11 7.17069779e-10]",anticipation
25,Ariana Grande,One Last Time,0.993,0.6653333333333333,"[4.49148227e-02 8.22643674e-04 3.02633695e-04 8.22643674e-04
 9.02138330e-01 4.49148227e-02 5.54292947e-06 6.07856026e-03]",anticipation
26,Ariana Grande,​bad idea,-0.9908,0.3493827160493828,"[4.06855851e-09 7.26165684e-01 1.79998477e-03 2.67141426e-01
 3.00628070e-08 4.06855851e-09 1.49673903e-09 4.89286589e-03]",sadness
27,Ariana Grande,​better off,0.9946,0.4752777777777778,"[0.01007874 0.55028065 0.20243694 0.07447239 0.07447239 0.00370776
 0.01007874 0.07447239]",sadness
28,Ariana Grande,​make up,0.968,0.4101503759398497,"[7.05376708e-01 3.51186384e-02 1.59438372e-06 2.59493589e-01
 5.86540990e-07 2.15776372e-07 4.33398428e-06 4.33398428e-06]",joy
29,Ariana Grande,​get well soon,0.9955,0.6315955117679255,"[3.19344246e-04 2.15172461e-06 3.19344246e-04 5.84899390e-06
 4.73948884e-02 9.51951782e-01 5.84899390e-06 7.91575246e-07]",trust
30,Ariana Grande,The Way,0.9998,0.4648326898326893,"[1.00000000e+00 4.78089288e-25 2.38026641e-26 9.60268005e-24
 3.53262857e-24 4.35961000e-28 1.18506486e-27 6.47023493e-26]",joy
31,Ariana Grande,Problem,-0.9907,0.8131868131868132,"[3.73504336e-12 7.31058579e-01 2.29488996e-17 2.68941421e-01
 2.51665242e-14 3.40591868e-15 1.25296746e-15 4.60940970e-16]",sadness
32,Ariana Grande,​everytime,0.9143,0.8232001332001332,"[5.64522120e-03 7.63997610e-04 2.81059014e-04 1.13387299e-01
 8.37825112e-01 4.17128561e-02 1.03395833e-04 2.81059014e-04]",anticipation
33,Ariana Grande,Focus,0.9994,0.477037037037037,"[0.01474728 0.00542522 0.04008726 0.10896846 0.00542522 0.80517407
 0.00542522 0.01474728]",trust
34,Ariana Grande,Everyday,-0.9708,0.4777891156462583,"[9.98462756e-01 4.13357362e-08 1.23220093e-04 5.59418357e-09
 9.10480180e-04 3.34946940e-04 4.53301390e-05 1.23220093e-04]",joy
35,Ariana Grande,Moonlight,0.9733,0.5821428571428571,"[8.72346108e-01 1.59775763e-02 2.16232981e-03 5.87782184e-03
 4.34315553e-02 4.34315553e-02 1.59775763e-02 7.95476684e-04]",joy
36,Ariana Grande,​just like magic,0.998,0.3261641511641512,"[0.67484119 0.01236015 0.01236015 0.00167276 0.03359836 0.2482602
 0.00454704 0.01236015]",joy
37,Ariana Grande,​nasty,0.9225,0.2931972789115648,"[2.51665242e-14 7.31058578e-01 1.01529005e-11 2.68941421e-01
 1.01529005e-11 1.85956859e-13 2.29488996e-17 2.03926458e-10]",sadness
38,Ariana Grande,​successful,0.9996,0.323558897243108,"[1.00000000e+00 2.38026641e-26 8.75651076e-27 1.71390843e-15
 3.44247711e-14 1.56288219e-18 3.77513454e-11 2.61027907e-23]",joy
39,Ariana Grande,Be Alright,0.9955,0.494047619047619,"[9.99158816e-01 1.23305994e-04 1.23305994e-04 1.23305994e-04
 3.35180442e-04 4.53617401e-05 4.53617401e-05 4.53617401e-05]",joy
40,Ariana Grande,​safety net,0.919,0.6886243386243387,"[2.08203171e-03 8.39951541e-01 1.13675080e-01 1.03658255e-04
 4.18187248e-02 2.08203171e-03 5.16084063e-06 2.81772351e-04]",sadness
41,Ariana Grande,​shut up,-0.9922,0.4185714285714286,"[0.07475885 0.07475885 0.20321563 0.01011751 0.20321563 0.02750225
 0.20321563 0.20321563]",others
42,Ariana Grande,​obvious,0.9986,0.4085119047619047,"[9.81919426e-01 3.00371431e-07 6.03312147e-06 3.00371431e-07
 4.45790730e-05 1.79844816e-02 3.00371431e-07 4.45790730e-05]",joy
43,Ariana Grande,​my hair,0.9306,0.7256944444444444,"[0.67819065 0.0124215  0.00456961 0.00456961 0.2494924  0.03376512
 0.0124215  0.00456961]",joy
44,Ariana Grande,​love language,0.9909,0.3900898078529655,"[9.99997123e-01 1.02618501e-10 3.05901440e-07 7.58253861e-10
 2.06114769e-09 2.26032290e-06 2.06114769e-09 3.05901440e-07]",joy
45,Ariana Grande,​six thirty,0.9932,0.5442708333333337,"[3.82614703e-03 2.08900550e-01 2.08900550e-01 5.67850568e-01
 7.00783274e-05 2.57803759e-05 2.57803759e-05 1.04005460e-02]",fear
46,Ariana Grande,Break Free,0.9853,0.4097883597883596,"[6.16367720e-05 4.99447936e-01 4.55437566e-04 4.99447936e-01
 6.16367720e-05 8.34163000e-06 4.55437566e-04 6.16367720e-05]",others
47,Ariana Grande,My Everything,0.9739,0.5011904761904762,"[0.15899264 0.15899264 0.15899264 0.43218681 0.05849012 0.00791578
 0.02151731 0.00291205]",fear
48,Ariana Grande,34+35 (Remix),0.9985,0.4245300751879697,"[6.84152555e-01 9.25899798e-02 9.25899798e-02 9.25899798e-02
 6.23866377e-04 3.40619500e-02 1.69584463e-03 1.69584463e-03]",joy
49,Ariana Grande,​borderline,0.9867,0.3864906832298138,"[1.18820511e-01 2.94526601e-04 1.08350282e-04 3.98598410e-05
 8.77971425e-01 2.94526601e-04 2.17627358e-03 2.94526601e-04]",anticipation
